Symbol,EPS Next 5Y in percent,DCF value,Current Price,Sector,Market Cap,Beta,Total Assets,Total Debt,Free Cash Flow,P/E Ratio,P/S Ratio,RSI,10 day EMA,20 day SMA,50 day SMA,200 day SMA
AAPL,15.43,140.4487504237753,161.84,Technology,2655211749376,1.205714,62639000000,126247000000,92953000000,28.848484,7.258306,62.027001231823625,160.9389792636046,156.41550064086914,150.10220031738282,138.970950050354
ADBE,18.0,361.61590689041844,616.53,Technology,293345001472,1.046233,5992000000,5500000000,5308000000,50.969746,19.428108,38.8106287988711,659.1677856274133,663.8999938964844,632.6076000976562,570.7026013183594
BA,12.33,-743.0900518612752,198.49,Industrials,116652376064,1.523116,25590000000,75087000000,-19713000000,,1.8576106,40.11080987992664,203.18619786288497,213.39550170898437,216.19760070800783,229.5512501525879
CAT,32.1,N/A,197.8,Industrials,106998333440,0.90961,blank,25674000000,4212000000,21.159607,2.210344,45.64039312461245,198.4454014962181,203.0615005493164,200.16580047607422,215.75525077819825
DIS,50.69,N/A,146.22,Communication Services,265778249728,1.16935,blank,58566000000,1989000000,133.65631,3.9422445,29.383652382576017,149.20765544274914,157.04449920654298,166.44739990234376,177.8213996887207
DOCU,46.8,167.05975802638633,135.09,Technology,26574632960,0.900509,773505000,972773000,214559000,,13.577308,13.592781743785366,225.99632624308947,249.92949905395508,260.9589993286133,251.36044960021974
ENPH,43.51,N/A,217.1,Technology,29289396224,1.290389,blank,401907000,195776000,188.45488,23.73208,41.39495638610101,241.16321779029704,246.7844985961914,206.85239990234376,171.37179969787599
ETSY,52.8,786.384078956146,231.33,Consumer Cyclical,29402736640,1.60987,1669218000,1198042000,676631000,65.70009,13.189047,36.99875215068005,264.58131900070504,271.17249908447263,244.12099975585937,208.3580000305176
GOOGL,24.41,3201.0933775519266,2840.03,Communication Services,1922174812160,0.998924,136694000000,36825000000,42843000000,37.84688,8.726646,44.16984613129927,2877.2009992036164,2924.113525390625,2854.9698095703125,2538.379602050781
GS,17.45,-1917.1187004965018,382.73,Financial Services,130037104640,1.497883,406062000000,514604000000,-20037000000,9.50693,2.3555312,41.11561432985165,388.31386601277705,395.53550109863284,398.28540100097655,374.1959503173828
HD,10.6,N/A,407.81,Consumer Cyclical,433608065024,1.008831,blank,41563000000,16376000000,29.728094,2.9357548,69.1209867139216,402.6953105379752,392.23399810791017,367.0183990478516,327.2767992401123
JNJ,8.12,150.79004877817943,159.38,Healthcare,419711320064,0.704694,25185000000,64231000000,20189000000,28.154037,4.7058115,45.0399027225194,159.3042572271854,161.29849853515626,161.88579956054687,165.5901499938965
JPM,10.7,blank,158.29,Financial Services,479159615488,1.187227,799493000000,783300000000,blank,12.555722,3.7246368,38.1945153528146,161.49416547313842,164.31549987792968,166.47899993896485,158.4902495574951
KO,9.71,38.70299157507067,53.54,Consumer Defensive,230847348736,0.641798,10914000000,49042000000,8667000000,32.059883,6.3398705,41.043447090385584,53.98222658645493,55.27350063323975,54.73880027770996,54.485
LMT,4.35,N/A,333.81,Industrials,92777152512,0.971615,blank,15606000000,6417000000,13.469313,1.3885884,41.35183187702944,336.34670315798076,339.1495025634766,346.34080078125,363.5585011291504
MCD,21.61,N/A,249.33,Consumer Cyclical,186043564032,0.627183,blank,39813100000,4624400000,36.181976,8.55593,49.87113128430174,249.55361444097767,251.56999969482422,247.31600006103517,235.65740028381347
MMM,8.0,194.60683129999126,172.59,Industrials,100046110720,0.953056,5038000000,21030000000,6612000000,17.661686,2.880351,36.85570259312101,174.5207147299184,178.55499954223632,179.20759918212892,191.06850021362305
MSFT,16.75,244.37209588339428,323.01,Technology,2432772603904,0.862337,130256000000,70956000000,56118000000,44.01881,13.802887,42.47406825968449,331.57527282319677,335.14649658203126,317.06440002441406,277.91389961242675
NKE,14.95,22.78312710024073,170.24,Consumer Cyclical,268974112768,0.853804,8787000000,12983000000,1399000000,79.5886,6.9850707,53.27545339981726,169.97680792089503,170.93200149536133,162.60520050048828,150.68465019226073
NVDA,32.6,460.0041098610835,306.93,Technology,191217385472,1.359716,11561000000,7481000000,4694000000,36.28014,8.732583,54.16392657574965,316.0764904360928,311.89299926757815,260.48100006103516,195.08007499694824
PG,6.95,N/A,149.88,Consumer Defensive,366940717056,0.411948,blank,38492000000,15584000000,27.556536,4.7569385,61.168904574345774,147.5804570756427,147.1150001525879,144.01680114746094,138.45869979858398
QCOM,32.19,223.62547787796402,176.51,Technology,199103266816,1.310043,11214000000,18648000000,4407000000,25.277102,6.111962,61.14955903116927,177.4200770905122,175.11100082397462,148.81559967041017,140.42964992523193
SQ,54.41,86.11243687717449,181.31,Technology,82562949120,2.424672,3853170000,3230475000,243201000,253.58043,5.182604,21.798921578251296,204.59325497673743,219.1765007019043,236.7643994140625,240.45784950256348
TGT,13.29,N/A,247.57,Consumer Defensive,122478821376,0.980895,blank,14153000000,7876000000,20.213097,1.2207841,47.034717247026734,247.5061233433551,251.78250122070312,247.29920196533203,230.86275077819823
TSLA,73.06,N/A,1014.97,Consumer Cyclical,977750982656,2.008831,blank,12621000000,2711000000,1017.00397,20.870708,44.20386809826805,1089.3837210516822,1095.2059997558595,981.4781994628906,750.0639990234375
UNP,16.14,195.94318997029347,240.43,Industrials,159718359040,1.150793,1859000000,27654000000,5613000000,31.115566,7.766514,54.68084467862128,239.68366162697373,240.72949981689453,229.58119995117187,221.27584991455078
V,10.9,148.72987848674933,196.32,Financial Services,431976644608,0.916883,18512000000,24143000000,14522000000,40.578754,17.920624,39.9480640120583,198.23084199218937,204.75749969482422,216.49100036621093,225.6767505645752
VZ,3.57,N/A,51.42,Communication Services,212882391040,0.455621,blank,144881000000,23576000000,11.271372,1.6022338,46.84522435216958,51.15068721945601,51.65450038909912,52.54180015563965,55.46409996032715
XOM,1.0,N/A,60.89,Energy,257780252672,1.419759,blank,70540000000,-2614000000,,1.1940961,44.00458899538871,61.51736963490353,63.00799961090088,62.586799697875975,59.283299903869626
ZM,13.58,N/A,183.92,Technology,54191296512,-1.482678,4244713000,blank,1391205000,63.42069,16.524569,21.630048180438706,211.69899976097432,235.84949951171876,255.79119995117188,318.2486000061035
